table_no,org_name,org_type,x_position,y_position,booth_width,booth_depth,zone,sponsor_tier,offers_on_spot_admission,waives_application_fee,scholarship_info,description,contact_email,contact_phone,website_url
208,HAMPTON UNIVERSITY,hbcu,210,305,40,40,Center-Left,gold,true,true,Presidential and academic scholarships,Historic HBCU in Virginia with beautiful waterfront campus,admissions@hamptonu.edu,(757) 727-5328,https://www.hamptonu.edu
209,HARRIS-STOWE STATE UNIVERSITY,hbcu,250,305,40,40,Center-Left,bronze,true,true,Urban scholarship programs,Public HBCU serving St. Louis Missouri,admissions@hssu.edu,(314) 340-3300,https://www.hssu.edu
210,HOWARD UNIVERSITY,hbcu,210,260,40,40,Center-Left,platinum,true,true,Full ride scholarships available,The Mecca - Premier HBCU in Washington DC,admissions@howard.edu,(202) 806-2700,https://www.howard.edu
211,HUSTON TILLOTSON UNIVERSITY,hbcu,250,260,40,40,Center-Left,bronze,true,true,Texas excellence scholarships,Historic HBCU in Austin Texas,admissions@htu.edu,(512) 505-3028,https://www.htu.edu
300,HARRIS COUNTY TAX OFFICE,government,310,490,40,40,Center-Right,bronze,false,false,Tax assistance programs,Local government services and information,taxoffice@harriscountytx.gov,(713) 274-8000,https://www.hctax.net
301,JACKSON STATE UNIVERSITY,hbcu,350,490,40,40,Center-Right,gold,true,true,Blue and White scholarships,Major HBCU in Jackson Mississippi,admissions@jsums.edu,(601) 979-2100,https://www.jsums.edu
302,JOHNSON C. SMITH UNIVERSITY,hbcu,310,445,40,40,Center-Right,bronze,true,true,Golden Bull scholarships,Private HBCU in Charlotte North Carolina,admissions@jcsu.edu,(704) 378-1010,https://www.jcsu.edu
303,LEGACY YOUTH TRAVEL,corporate,350,445,40,40,Center-Right,silver,false,false,Educational travel programs,Youth travel and cultural experiences,info@legacyyouthtravel.com,(713) 555-0300,https://www.legacyyouthtravel.com
304,LEMOYNE OWEN COLLEGE,hbcu,310,400,40,40,Center-Right,bronze,true,true,Magician scholarships available,Private HBCU in Memphis Tennessee,admissions@loc.edu,(901) 435-1500,https://www.loc.edu
305,LIBERTY UNIVERSITY,university,350,400,40,40,Center-Right,bronze,true,true,Christian university scholarships,Large private Christian university in Virginia,admissions@liberty.edu,(800) 543-5317,https://www.liberty.edu
306,LIVINGSTONE COLLEGE,hbcu,310,355,40,40,Center-Right,bronze,true,true,Blue Bear scholarships,Private HBCU in Salisbury North Carolina,admissions@livingstone.edu,(704) 216-6001,https://www.livingstone.edu
307,LONG ISLAND UNIVERSITY,university,350,355,40,40,Center-Right,bronze,true,true,LIU Promise scholarships,Private university with Brooklyn and Post campuses,admissions@liu.edu,(516) 299-2900,https://www.liu.edu
308,NCRF INTERNSHIPS AND CAREERS,nonprofit,310,310,40,40,Center-Right,platinum,false,false,Career preparation programs,NCRF career services and internship opportunities,careers@ncrf.org,(713) 555-0400,https://www.ncrf.org/careers
309,NCRF STUDENT ATHLETE PROGRAM,nonprofit,350,310,40,40,Center-Right,platinum,false,false,Athletic scholarship support,Supporting student athletes in college recruitment,sap@ncrf.org,(713) 555-0500,https://www.ncrf.org/sap
310,PAIN COLLEGE,hbcu,310,265,40,40,Center-Right,bronze,true,true,Presidential scholarships,Historic HBCU in Augusta Georgia,admissions@paine.edu,(706) 821-8320,https://www.paine.edu
311,PHILANDER SMITH UNIVERSITY,hbcu,350,265,40,40,Center-Right,bronze,true,true,Panther Pride scholarships,Private HBCU in Little Rock Arkansas,admissions@philander.edu,(501) 370-5310,https://www.philander.edu
400,SAN DIEGO STATE UNIVERSITY,university,520,480,40,60,Right Wall,silver,true,false,Merit-based aid,Major public research university in Southern California,admissions@sdsu.edu,(619) 594-6336,https://www.sdsu.edu
402,SOUTH CAROLINA STATE UNIVERSITY,hbcu,520,410,40,60,Right Wall,bronze,true,true,Garnet and Blue scholarships,Public HBCU in Orangeburg South Carolina,admissions@scsu.edu,(803) 536-7185,https://www.scsu.edu
404,SPOTR,corporate,520,340,40,60,Right Wall,silver,false,false,Athlete recruitment platform,Digital platform connecting student athletes with colleges,info@spotr.com,(713) 555-0600,https://www.spotr.com
406,STANFORD UNIVERSITY,university,520,270,40,60,Right Wall,platinum,false,false,Need-based aid only,Elite private research university in California,admission@stanford.edu,(650) 723-2091,https://www.stanford.edu
408,TALLADEGA COLLEGE,hbcu,520,200,40,60,Right Wall,bronze,true,true,Tornado scholarships,Historic HBCU in Talladega Alabama,admissions@talladega.edu,(256) 761-6235,https://www.talladega.edu
410,TEXAS SOUTHERN UNIVERSITY,hbcu,520,130,40,60,Right Wall,gold,true,true,Texas excellence awards,Major HBCU in Houston Texas,admissions@tsu.edu,(713) 313-7420,https://www.tsu.edu
412,TEXAS WATER UTILITIES,government,520,60,40,60,Right Wall,bronze,false,false,Water career programs,Texas water utility services and career opportunities,careers@twu.texas.gov,(713) 555-0700,https://www.twu.texas.gov
414,UNITED NEGRO COLLEGE FUND,nonprofit,520,0,40,60,Right Wall,platinum,false,false,UNCF scholarships,Supporting HBCU students nationwide with scholarships,info@uncf.org,(800) 331-2244,https://www.uncf.org
S17,UNITED STATES COAST GUARD,military,305,195,30,30,Top Row,gold,true,true,Military education benefits,US Coast Guard recruitment and career opportunities,coastguard@uscg.mil,(877) 669-8724,https://www.gocoastguard.com
S18,UNITED STATES HELP DESK ACADEMY,corporate,340,195,30,30,Top Row,bronze,true,false,IT certification programs,Technology training and certification programs,info@ushelpdeskacademy.com,(713) 555-0800,https://www.ushelpdeskacademy.com
S19,UNITED STATES NAVAL ACADEMY,military,375,195,30,30,Top Row,platinum,true,true,Full scholarship with service,Premier US military academy in Annapolis Maryland,admissions@usna.edu,(410) 293-4361,https://www.usna.edu
S20,UNIVERSITY OF WASHINGTON BOTHELL,university,410,195,30,30,Top Row,bronze,true,false,Husky Promise scholarships,University of Washington campus near Seattle,admissions@uwb.edu,(425) 352-5000,https://www.uwb.edu
S21,VIRGINIA MILITARY INSTITUTE,military,445,195,30,30,Top Row,gold,true,true,Corps of Cadets scholarships,Nation's oldest state-supported military college,admissions@vmi.edu,(540) 464-7211,https://www.vmi.edu
S22,WILEY UNIVERSITY,hbcu,480,195,30,30,Top Row,bronze,true,true,Wildcat scholarships,Historic HBCU in Marshall Texas,admissions@wiley.edu,(903) 927-3300,https://www.wiley.edu
